X1,X2,X3,X4,X5,X6,X7,X8,Y1
0.98,514.5,294,110.25,7,2,0,0,15.55
0.98,514.5,294,110.25,7,3,0,0,15.55
0.98,514.5,294,110.25,7,4,0,0,15.55
0.98,514.5,294,110.25,7,5,0,0,15.55
0.9,563.5,318.5,122.5,7,2,0,0,20.84
0.9,563.5,318.5,122.5,7,3,0,0,21.46
0.9,563.5,318.5,122.5,7,4,0,0,20.71
0.9,563.5,318.5,122.5,7,5,0,0,19.68
0.86,588,294,147,7,2,0,0,19.5
0.86,588,294,147,7,3,0,0,19.95
0.86,588,294,147,7,4,0,0,19.34
0.86,588,294,147,7,5,0,0,18.31
0.82,612.5,318.5,147,7,2,0,0,17.05
0.82,612.5,318.5,147,7,3,0,0,17.41
0.82,612.5,318.5,147,7,4,0,0,16.95
0.82,612.5,318.5,147,7,5,0,0,15.98
0.79,637,343,147,7,2,0,0,28.52
0.79,637,343,147,7,3,0,0,29.9
0.79,637,343,147,7,4,0,0,29.63
0.79,637,343,147,7,5,0,0,28.75
0.76,661.5,416.5,122.5,7,2,0,0,24.77
0.76,661.5,416.5,122.5,7,3,0,0,23.93
0.76,661.5,416.5,122.5,7,4,0,0,24.77
0.76,661.5,416.5,122.5,7,5,0,0,23.93
0.74,686,245,220.5,3.5,2,0,0,6.07
0.74,686,245,220.5,3.5,3,0,0,6.05
0.74,686,245,220.5,3.5,4,0,0,6.01
0.74,686,245,220.5,3.5,5,0,0,6.04
0.71,710.5,269.5,220.5,3.5,2,0,0,6.37
0.71,710.5,269.5,220.5,3.5,3,0,0,6.4
0.71,710.5,269.5,220.5,3.5,4,0,0,6.37
0.71,710.5,269.5,220.5,3.5,5,0,0,6.4
0.69,735,294,220.5,3.5,2,0,0,6.85
0.69,735,294,220.5,3.5,3,0,0,6.79
0.69,735,294,220.5,3.5,4,0,0,6.77
0.69,735,294,220.5,3.5,5,0,0,6.81
0.66,759.5,318.5,220.5,3.5,2,0,0,7.18
0.66,759.5,318.5,220.5,3.5,3,0,0,7.1
0.66,759.5,318.5,220.5,3.5,4,0,0,7.1
0.66,759.5,318.5,220.5,3.5,5,0,0,7.1
0.64,784,343,220.5,3.5,2,0,0,10.85
0.64,784,343,220.5,3.5,3,0,0,10.54
0.64,784,343,220.5,3.5,4,0,0,10.77
0.64,784,343,220.5,3.5,5,0,0,10.56
0.62,808.5,367.5,220.5,3.5,2,0,0,8.6
0.62,808.5,367.5,220.5,3.5,3,0,0,8.49
0.62,808.5,367.5,220.5,3.5,4,0,0,8.45
0.62,808.5,367.5,220.5,3.5,5,0,0,8.5
0.98,514.5,294,110.25,7,2,0.1,1,24.58
0.98,514.5,294,110.25,7,3,0.1,1,24.63
0.98,514.5,294,110.25,7,4,0.1,1,24.63
0.98,514.5,294,110.25,7,5,0.1,1,24.59
0.9,563.5,318.5,122.5,7,2,0.1,1,29.03
0.9,563.5,318.5,122.5,7,3,0.1,1,29.87
0.9,563.5,318.5,122.5,7,4,0.1,1,29.14
0.9,563.5,318.5,122.5,7,5,0.1,1,28.09
0.86,588,294,147,7,2,0.1,1,26.28
0.86,588,294,147,7,3,0.1,1,26.91
0.86,588,294,147,7,4,0.1,1,26.37
0.86,588,294,147,7,5,0.1,1,25.27
0.82,612.5,318.5,147,7,2,0.1,1,23.53
0.82,612.5,318.5,147,7,3,0.1,1,24.03
0.82,612.5,318.5,147,7,4,0.1,1,23.54
0.82,612.5,318.5,147,7,5,0.1,1,22.58
0.79,637,343,147,7,2,0.1,1,35.56
0.79,637,343,147,7,3,0.1,1,37.12
0.79,637,343,147,7,4,0.1,1,36.9
0.79,637,343,147,7,5,0.1,1,35.94
0.76,661.5,416.5,122.5,7,2,0.1,1,32.96
0.76,661.5,416.5,122.5,7,3,0.1,1,32.12
0.76,661.5,416.5,122.5,7,4,0.1,1,32.94
0.76,661.5,416.5,122.5,7,5,0.1,1,32.21
0.74,686,245,220.5,3.5,2,0.1,1,10.36
0.74,686,245,220.5,3.5,3,0.1,1,10.43
0.74,686,245,220.5,3.5,4,0.1,1,10.36
0.74,686,245,220.5,3.5,5,0.1,1,10.39
0.71,710.5,269.5,220.5,3.5,2,0.1,1,10.71
0.71,710.5,269.5,220.5,3.5,3,0.1,1,10.8
0.71,710.5,269.5,220.5,3.5,4,0.1,1,10.7
0.71,710.5,269.5,220.5,3.5,5,0.1,1,10.75
0.69,735,294,220.5,3.5,2,0.1,1,11.11
0.69,735,294,220.5,3.5,3,0.1,1,11.13
0.69,735,294,220.5,3.5,4,0.1,1,11.09
0.69,735,294,220.5,3.5,5,0.1,1,11.16
0.66,759.5,318.5,220.5,3.5,2,0.1,1,11.68
0.66,759.5,318.5,220.5,3.5,3,0.1,1,11.69
0.66,759.5,318.5,220.5,3.5,4,0.1,1,11.7
0.66,759.5,318.5,220.5,3.5,5,0.1,1,11.69
0.64,784,343,220.5,3.5,2,0.1,1,15.41
0.64,784,343,220.5,3.5,3,0.1,1,15.2
0.64,784,343,220.5,3.5,4,0.1,1,15.42
0.64,784,343,220.5,3.5,5,0.1,1,15.21
0.62,808.5,367.5,220.5,3.5,2,0.1,1,12.96
0.62,808.5,367.5,220.5,3.5,3,0.1,1,12.97
0.62,808.5,367.5,220.5,3.5,4,0.1,1,12.93
0.62,808.5,367.5,220.5,3.5,5,0.1,1,13.02
0.98,514.5,294,110.25,7,2,0.1,2,24.29
0.98,514.5,294,110.25,7,3,0.1,2,24.31
0.98,514.5,294,110.25,7,4,0.1,2,24.13
0.98,514.5,294,110.25,7,5,0.1,2,24.25
0.9,563.5,318.5,122.5,7,2,0.1,2,28.88
0.9,563.5,318.5,122.5,7,3,0.1,2,29.68
0.9,563.5,318.5,122.5,7,4,0.1,2,28.83
0.9,563.5,318.5,122.5,7,5,0.1,2,27.9
0.86,588,294,147,7,2,0.1,2,26.48
0.86,588,294,147,7,3,0.1,2,27.02
0.86,588,294,147,7,4,0.1,2,26.33
0.86,588,294,147,7,5,0.1,2,25.36
0.82,612.5,318.5,147,7,2,0.1,2,23.75
0.82,612.5,318.5,147,7,3,0.1,2,24.23
0.82,612.5,318.5,147,7,4,0.1,2,23.67
0.82,612.5,318.5,147,7,5,0.1,2,22.79
0.79,637,343,147,7,2,0.1,2,35.65
0.79,637,343,147,7,3,0.1,2,37.26
0.79,637,343,147,7,4,0.1,2,36.97
0.79,637,343,147,7,5,0.1,2,36.03
0.76,661.5,416.5,122.5,7,2,0.1,2,33.16
0.76,661.5,416.5,122.5,7,3,0.1,2,32.4
0.76,661.5,416.5,122.5,7,4,0.1,2,33.12
0.76,661.5,416.5,122.5,7,5,0.1,2,32.41
0.74,686,245,220.5,3.5,2,0.1,2,10.42
0.74,686,245,220.5,3.5,3,0.1,2,10.46
0.74,686,245,220.5,3.5,4,0.1,2,10.32
0.74,686,245,220.5,3.5,5,0.1,2,10.45
0.71,710.5,269.5,220.5,3.5,2,0.1,2,10.64
0.71,710.5,269.5,220.5,3.5,3,0.1,2,10.72
0.71,710.5,269.5,220.5,3.5,4,0.1,2,10.55
0.71,710.5,269.5,220.5,3.5,5,0.1,2,10.68
0.69,735,294,220.5,3.5,2,0.1,2,11.45
0.69,735,294,220.5,3.5,3,0.1,2,11.46
0.69,735,294,220.5,3.5,4,0.1,2,11.32
0.69,735,294,220.5,3.5,5,0.1,2,11.49
0.66,759.5,318.5,220.5,3.5,2,0.1,2,11.45
0.66,759.5,318.5,220.5,3.5,3,0.1,2,11.42
0.66,759.5,318.5,220.5,3.5,4,0.1,2,11.33
0.66,759.5,318.5,220.5,3.5,5,0.1,2,11.43
0.64,784,343,220.5,3.5,2,0.1,2,15.41
0.64,784,343,220.5,3.5,3,0.1,2,15.18
0.64,784,343,220.5,3.5,4,0.1,2,15.34
0.64,784,343,220.5,3.5,5,0.1,2,15.19
0.62,808.5,367.5,220.5,3.5,2,0.1,2,12.88
0.62,808.5,367.5,220.5,3.5,3,0.1,2,13
0.62,808.5,367.5,220.5,3.5,4,0.1,2,12.97
0.62,808.5,367.5,220.5,3.5,5,0.1,2,13.04
0.98,514.5,294,110.25,7,2,0.1,3,24.28
0.98,514.5,294,110.25,7,3,0.1,3,24.4
0.98,514.5,294,110.25,7,4,0.1,3,24.11
0.98,514.5,294,110.25,7,5,0.1,3,24.35
0.9,563.5,318.5,122.5,7,2,0.1,3,28.07
0.9,563.5,318.5,122.5,7,3,0.1,3,29.01
0.9,563.5,318.5,122.5,7,4,0.1,3,29.62
0.9,563.5,318.5,122.5,7,5,0.1,3,29.05
0.86,588,294,147,7,2,0.1,3,25.41
0.86,588,294,147,7,3,0.1,3,26.47
0.86,588,294,147,7,4,0.1,3,26.89
0.86,588,294,147,7,5,0.1,3,26.46
0.82,612.5,318.5,147,7,2,0.1,3,22.93
0.82,612.5,318.5,147,7,3,0.1,3,23.84
0.82,612.5,318.5,147,7,4,0.1,3,24.17
0.82,612.5,318.5,147,7,5,0.1,3,23.87
0.79,637,343,147,7,2,0.1,3,35.78
0.79,637,343,147,7,3,0.1,3,35.48
0.79,637,343,147,7,4,0.1,3,36.97
0.79,637,343,147,7,5,0.1,3,36.7
0.76,661.5,416.5,122.5,7,2,0.1,3,32.52
